test_case_id,external_shipment_id,status_code,success,response,response_json
TC01,20251229-SHIP-001,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4685-71c7-9d8a-938c0286b4b7"",""reference_number"":""EI-LD-73""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4685-71c7-9d8a-938c0286b4b7', 'reference_number': 'EI-LD-73'}}"
TC02,20251229-SHIP-002,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4940-7987-8fb5-a6236d7ae522"",""reference_number"":""EI-LD-74""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4940-7987-8fb5-a6236d7ae522', 'reference_number': 'EI-LD-74'}}"
TC03,20251229-SHIP-003,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4b1c-7abe-b913-f5342d821b19"",""reference_number"":""EI-LD-75""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4b1c-7abe-b913-f5342d821b19', 'reference_number': 'EI-LD-75'}}"
TC04,20251229-SHIP-004,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4be9-73a8-8bf2-514e7503c9d4"",""reference_number"":""EI-LD-76""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4be9-73a8-8bf2-514e7503c9d4', 'reference_number': 'EI-LD-76'}}"
TC05,20251229-SHIP-005,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4cab-7952-863a-bc7b69156f02"",""reference_number"":""EI-LD-77""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4cab-7952-863a-bc7b69156f02', 'reference_number': 'EI-LD-77'}}"
TC06,20251229-SHIP-006,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4d87-705c-beba-b53b6a307cee"",""reference_number"":""EI-LD-78""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4d87-705c-beba-b53b6a307cee', 'reference_number': 'EI-LD-78'}}"
TC07,20251229-SHIP-007,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4e85-749a-80c2-69bba8a6085b"",""reference_number"":""EI-LD-79""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4e85-749a-80c2-69bba8a6085b', 'reference_number': 'EI-LD-79'}}"
TC08,20251229-SHIP-008,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-4f78-791d-9af8-688d603ef8b5"",""reference_number"":""EI-LD-80""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-4f78-791d-9af8-688d603ef8b5', 'reference_number': 'EI-LD-80'}}"
TC09,20251229-SHIP-009,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-506c-7c7f-b6f2-88c74c69ae35"",""reference_number"":""EI-LD-81""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-506c-7c7f-b6f2-88c74c69ae35', 'reference_number': 'EI-LD-81'}}"
TC10,20251229-SHIP-010,200,True,"{""error"":{""code"":""NoError""},""response"":{""id"":""019b6ee6-518b-7b27-8bd3-5faa45abadb6"",""reference_number"":""EI-LD-82""}}","{'error': {'code': 'NoError'}, 'response': {'id': '019b6ee6-518b-7b27-8bd3-5faa45abadb6', 'reference_number': 'EI-LD-82'}}"
